etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,1,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,1,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,1,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,1,2,83,0.33299999999999996,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,2,83,0.33299999999999996,1,ANGRA2,2,0.0,20.0,0.0
FW,1,2,83,0.33299999999999996,1,ANGRA2,3,0.0,30.0,0.0
FW,1,2,83,0.33299999999999996,1,ANGRA2,4,0.0,40.0,0.0
FW,1,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,2,264.7,20.0,5294.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,3,264.7,30.0,7941.0
FW,1,2,84,0.33299999999999996,1,ANGRA2,4,264.7,40.0,10588.0
FW,1,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,1,2,85,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,1,3,86,0.3333333,1,ANGRA1,1,434.0,10.0,4340.0
FW,1,3,86,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,86,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,86,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,87,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,87,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,87,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,87,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,1,3,88,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,88,0.6666666,1,ANGRA2,2,282.5,20.0,5650.0
FW,1,3,88,0.6666666,1,ANGRA2,3,282.5,30.0,8475.0
FW,1,3,88,0.6666666,1,ANGRA2,4,282.5,40.0,11300.0
FW,1,3,89,0.3333333,1,ANGRA1,1,412.0,10.0,4120.0
FW,1,3,89,0.3333333,1,ANGRA2,2,-0.0,20.0,-0.0
FW,1,3,89,0.3333333,1,ANGRA2,3,-0.0,30.0,-0.0
FW,1,3,89,0.3333333,1,ANGRA2,4,-0.0,40.0,-0.0
FW,1,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,3,90,0.6666666,1,ANGRA2,2,193.2,20.0,3864.0
FW,1,3,90,0.6666666,1,ANGRA2,3,193.2,30.0,5796.0
FW,1,3,90,0.6666666,1,ANGRA2,4,193.2,40.0,7728.0
FW,1,3,91,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,92,0.6666666,1,ANGRA2,2,219.5,20.0,4390.0
FW,1,4,92,0.6666666,1,ANGRA2,3,219.5,30.0,6585.0
FW,1,4,92,0.6666666,1,ANGRA2,4,219.5,40.0,8780.0
FW,1,4,93,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,93,0.3333333,1,ANGRA2,2,73.3,20.0,1466.0
FW,1,4,93,0.3333333,1,ANGRA2,3,73.3,30.0,2199.0
FW,1,4,93,0.3333333,1,ANGRA2,4,73.3,40.0,2932.0
FW,1,4,94,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,94,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,94,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,94,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,95,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,1,4,95,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,95,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,95,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,96,0.6666668,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,96,0.6666668,1,ANGRA2,2,359.2,20.0,7184.0
FW,1,4,96,0.6666668,1,ANGRA2,3,359.2,30.0,10776.0
FW,1,4,96,0.6666668,1,ANGRA2,4,359.2,40.0,14368.0
FW,1,4,97,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,97,0.3333334,1,ANGRA2,2,217.7,20.0,4354.0
FW,1,4,97,0.3333334,1,ANGRA2,3,217.7,30.0,6531.0
FW,1,4,97,0.3333334,1,ANGRA2,4,217.7,40.0,8708.0
FW,1,4,98,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,98,0.6666666,1,ANGRA2,2,256.5,20.0,5130.0
FW,1,4,98,0.6666666,1,ANGRA2,3,256.5,30.0,7695.0
FW,1,4,98,0.6666666,1,ANGRA2,4,256.5,40.0,10260.0
FW,1,4,99,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,99,0.3333333,1,ANGRA2,2,110.3,20.0,2206.0
FW,1,4,99,0.3333333,1,ANGRA2,3,110.3,30.0,3309.0
FW,1,4,99,0.3333333,1,ANGRA2,4,110.3,40.0,4412.0
FW,1,4,100,0.6666668,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,100,0.6666668,1,ANGRA2,2,299.8,20.0,5996.0
FW,1,4,100,0.6666668,1,ANGRA2,3,299.8,30.0,8994.0
FW,1,4,100,0.6666668,1,ANGRA2,4,299.8,40.0,11992.0
FW,1,4,101,0.3333334,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,101,0.3333334,1,ANGRA2,2,154.5,20.0,3090.0
FW,1,4,101,0.3333334,1,ANGRA2,3,154.5,30.0,4635.0
FW,1,4,101,0.3333334,1,ANGRA2,4,154.5,40.0,6180.0
FW,1,4,102,0.3333333,1,ANGRA1,1,455.0,10.0,4550.0
FW,1,4,102,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,1,4,102,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,1,4,102,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,1,4,103,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,1,4,103,0.6666666,1,ANGRA2,2,131.0,20.0,2620.0
FW,1,4,103,0.6666666,1,ANGRA2,3,131.0,30.0,3930.0
FW,1,4,103,0.6666666,1,ANGRA2,4,131.0,40.0,5240.0
FW,2,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,2,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,2,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,2,2,83,0.33299999999999996,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,83,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,2,83,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,2,83,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,2,500.0,20.0,10000.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,3,500.0,30.0,15000.0
FW,2,2,84,0.33299999999999996,1,ANGRA2,4,500.0,40.0,20000.0
FW,2,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,85,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,2,2,85,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,2,2,85,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,2,3,86,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,86,0.3333333,1,ANGRA2,2,204.3,20.0,4086.0
FW,2,3,86,0.3333333,1,ANGRA2,3,204.3,30.0,6129.0
FW,2,3,86,0.3333333,1,ANGRA2,4,204.3,40.0,8172.0
FW,2,3,87,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,3,87,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,87,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,87,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,88,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,88,0.6666666,1,ANGRA2,2,414.8,20.0,8296.0
FW,2,3,88,0.6666666,1,ANGRA2,3,414.8,30.0,12444.0
FW,2,3,88,0.6666666,1,ANGRA2,4,414.8,40.0,16592.0
FW,2,3,89,0.3333333,1,ANGRA1,1,496.0,10.0,4960.0
FW,2,3,89,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,89,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,89,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,90,0.6666666,1,ANGRA2,2,500.0,20.0,10000.0
FW,2,3,90,0.6666666,1,ANGRA2,3,500.0,30.0,15000.0
FW,2,3,90,0.6666666,1,ANGRA2,4,500.0,40.0,20000.0
FW,2,3,91,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,92,0.6666666,1,ANGRA1,1,479.5,10.0,4795.0
FW,2,4,92,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,92,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,92,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,93,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,93,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,93,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,93,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,94,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,94,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,94,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,94,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,95,0.5000001000000001,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,95,0.5000001000000001,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,95,0.5000001000000001,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,95,0.5000001000000001,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,96,0.6666668,1,ANGRA1,1,474.9,10.0,4749.0
FW,2,4,96,0.6666668,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,96,0.6666668,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,96,0.6666668,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,97,0.3333334,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,97,0.3333334,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,97,0.3333334,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,97,0.3333334,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,98,0.6666666,1,ANGRA1,1,479.5,10.0,4795.0
FW,2,4,98,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,98,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,98,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,99,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,99,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,99,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,99,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,100,0.6666668,1,ANGRA1,1,478.7,10.0,4787.0
FW,2,4,100,0.6666668,1,ANGRA2,2,-0.0,20.0,-0.0
FW,2,4,100,0.6666668,1,ANGRA2,3,-0.0,30.0,-0.0
FW,2,4,100,0.6666668,1,ANGRA2,4,-0.0,40.0,-0.0
FW,2,4,101,0.3333334,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,101,0.3333334,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,101,0.3333334,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,101,0.3333334,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,102,0.3333333,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,4,102,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,2,4,102,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,2,4,102,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,2,4,103,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,4,103,0.6666666,1,ANGRA2,2,64.3,20.0,1286.0
FW,2,4,103,0.6666666,1,ANGRA2,3,64.3,30.0,1929.0
FW,2,4,103,0.6666666,1,ANGRA2,4,64.3,40.0,2572.0
FW,3,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,1,1,1.0,1,ANGRA2,2,166.7,20.0,3334.0
FW,3,1,1,1.0,1,ANGRA2,3,166.7,30.0,5001.0
FW,3,1,1,1.0,1,ANGRA2,4,166.7,40.0,6668.0
FW,3,2,83,0.33299999999999996,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,2,83,0.33299999999999996,1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,2,83,0.33299999999999996,1,ANGRA2,3,-0.0,30.0,-0.0
FW,3,2,83,0.33299999999999996,1,ANGRA2,4,-0.0,40.0,-0.0
FW,3,2,84,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,84,0.33299999999999996,1,ANGRA2,2,438.7,20.0,8774.0
FW,3,2,84,0.33299999999999996,1,ANGRA2,3,438.7,30.0,13161.0
FW,3,2,84,0.33299999999999996,1,ANGRA2,4,438.7,40.0,17548.0
FW,3,2,85,0.33299999999999996,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,2,85,0.33299999999999996,1,ANGRA2,2,95.3,20.0,1906.0
FW,3,2,85,0.33299999999999996,1,ANGRA2,3,95.3,30.0,2859.0
FW,3,2,85,0.33299999999999996,1,ANGRA2,4,95.3,40.0,3812.0
FW,3,3,86,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,86,0.3333333,1,ANGRA2,2,144.4,20.0,2888.0
FW,3,3,86,0.3333333,1,ANGRA2,3,144.4,30.0,4332.0
FW,3,3,86,0.3333333,1,ANGRA2,4,144.4,40.0,5776.0
FW,3,3,87,0.6666666,1,ANGRA1,1,300.0,10.0,3000.0
FW,3,3,87,0.6666666,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,87,0.6666666,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,87,0.6666666,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,88,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,88,0.6666666,1,ANGRA2,2,416.5,20.0,8330.0
FW,3,3,88,0.6666666,1,ANGRA2,3,416.5,30.0,12495.0
FW,3,3,88,0.6666666,1,ANGRA2,4,416.5,40.0,16660.0
FW,3,3,89,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,89,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,89,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,89,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,3,3,90,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,90,0.6666666,1,ANGRA2,2,440.2,20.0,8804.0
FW,3,3,90,0.6666666,1,ANGRA2,3,440.2,30.0,13206.0
FW,3,3,90,0.6666666,1,ANGRA2,4,440.2,40.0,17608.0
FW,3,3,91,0.3333333,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,3,91,0.3333333,1,ANGRA2,2,0.0,20.0,0.0
FW,3,3,91,0.3333333,1,ANGRA2,3,0.0,30.0,0.0
FW,3,3,91,0.3333333,1,ANGRA2,4,0.0,40.0,0.0
FW,3,4,92,0.6666666,1,ANGRA1,1,500.0,10.0,5000.0
FW,3,4,92,0.6666666,1,ANGRA2,2,53.1,20.0,1062.0
