etapa,iter,est,node,prob,SubmercadoDE,SubmercadoPARA,Valor
BK,1,4,4,1.0,1,2,0.0
BK,1,4,4,1.0,1,3,0.0
BK,1,4,4,1.0,1,4,0.0
BK,1,4,4,1.0,2,1,986.5399999999995
BK,1,4,4,1.0,2,3,0.0
BK,1,4,4,1.0,2,4,0.0
BK,1,4,4,1.0,3,1,0.0
BK,1,4,4,1.0,3,2,0.0
BK,1,4,4,1.0,3,4,0.0
BK,1,4,4,1.0,4,1,16725.02
BK,1,4,4,1.0,4,2,0.0
BK,1,4,4,1.0,4,3,0.0
BK,1,4,7,1.0,1,2,0.0
BK,1,4,7,1.0,1,3,0.0
BK,1,4,7,1.0,1,4,0.0
BK,1,4,7,1.0,2,1,980.1599999999994
BK,1,4,7,1.0,2,3,0.0
BK,1,4,7,1.0,2,4,0.0
BK,1,4,7,1.0,3,1,0.0
BK,1,4,7,1.0,3,2,0.0
BK,1,4,7,1.0,3,4,0.0
BK,1,4,7,1.0,4,1,16631.420000000002
BK,1,4,7,1.0,4,2,0.0
BK,1,4,7,1.0,4,3,0.0
BK,1,3,3,0.5,1,2,0.0
BK,1,3,3,0.5,1,3,0.0
BK,1,3,3,0.5,1,4,0.0
BK,1,3,3,0.5,2,1,0.0
BK,1,3,3,0.5,2,3,0.0
BK,1,3,3,0.5,2,4,0.0
BK,1,3,3,0.5,3,1,0.0
BK,1,3,3,0.5,3,2,0.0
BK,1,3,3,0.5,3,4,0.0
BK,1,3,3,0.5,4,1,16505.02
BK,1,3,3,0.5,4,2,0.0
BK,1,3,3,0.5,4,3,0.0
BK,1,3,6,1.0,1,2,0.0
BK,1,3,6,1.0,1,3,0.0
BK,1,3,6,1.0,1,4,0.0
BK,1,3,6,1.0,2,1,0.0
BK,1,3,6,1.0,2,3,0.0
BK,1,3,6,1.0,2,4,0.0
BK,1,3,6,1.0,3,1,0.0
BK,1,3,6,1.0,3,2,0.0
BK,1,3,6,1.0,3,4,0.0
BK,1,3,6,1.0,4,1,16449.82
BK,1,3,6,1.0,4,2,0.0
BK,1,3,6,1.0,4,3,0.0
BK,1,2,2,0.5,1,2,0.0
BK,1,2,2,0.5,1,3,0.0
BK,1,2,2,0.5,1,4,0.0
BK,1,2,2,0.5,2,1,83.42000000000124
BK,1,2,2,0.5,2,3,0.0
BK,1,2,2,0.5,2,4,0.0
BK,1,2,2,0.5,3,1,0.0
BK,1,2,2,0.5,3,2,0.0
BK,1,2,2,0.5,3,4,0.0
BK,1,2,2,0.5,4,1,12982.300000000001
BK,1,2,2,0.5,4,2,0.0
BK,1,2,2,0.5,4,3,0.0
BK,1,2,5,0.002,1,2,0.0
BK,1,2,5,0.002,1,3,0.0
BK,1,2,5,0.002,1,4,0.0
BK,1,2,5,0.002,2,1,0.0
BK,1,2,5,0.002,2,3,0.0
BK,1,2,5,0.002,2,4,0.0
BK,1,2,5,0.002,3,1,0.0
BK,1,2,5,0.002,3,2,0.0
BK,1,2,5,0.002,3,4,0.0
BK,1,2,5,0.002,4,1,12718.300000000001
BK,1,2,5,0.002,4,2,0.0
BK,1,2,5,0.002,4,3,0.0
BK,1,1,1,1.0,1,2,0.0
BK,1,1,1,1.0,1,3,0.0
BK,1,1,1,1.0,1,4,0.0
BK,1,1,1,1.0,2,1,0.0
BK,1,1,1,1.0,2,3,0.0
BK,1,1,1,1.0,2,4,0.0
BK,1,1,1,1.0,3,1,0.0
BK,1,1,1,1.0,3,2,0.0
BK,1,1,1,1.0,3,4,0.0
BK,1,1,1,1.0,4,1,10943.9
BK,1,1,1,1.0,4,2,0.0
BK,1,1,1,1.0,4,3,0.0
BK,2,4,4,1.0,1,2,0.0
BK,2,4,4,1.0,1,3,0.0
BK,2,4,4,1.0,1,4,0.0
BK,2,4,4,1.0,2,1,986.5399999999997
BK,2,4,4,1.0,2,3,0.0
BK,2,4,4,1.0,2,4,0.0
BK,2,4,4,1.0,3,1,0.0
BK,2,4,4,1.0,3,2,0.0
BK,2,4,4,1.0,3,4,0.0
BK,2,4,4,1.0,4,1,16725.02
BK,2,4,4,1.0,4,2,0.0
BK,2,4,4,1.0,4,3,0.0
BK,2,4,7,1.0,1,2,0.0
BK,2,4,7,1.0,1,3,0.0
BK,2,4,7,1.0,1,4,0.0
BK,2,4,7,1.0,2,1,986.5399999999997
BK,2,4,7,1.0,2,3,0.0
BK,2,4,7,1.0,2,4,0.0
BK,2,4,7,1.0,3,1,0.0
BK,2,4,7,1.0,3,2,0.0
BK,2,4,7,1.0,3,4,0.0
BK,2,4,7,1.0,4,1,16631.420000000002
BK,2,4,7,1.0,4,2,0.0
BK,2,4,7,1.0,4,3,0.0
BK,2,3,3,0.5,1,2,0.0
BK,2,3,3,0.5,1,3,0.0
BK,2,3,3,0.5,1,4,0.0
BK,2,3,3,0.5,2,1,0.0
BK,2,3,3,0.5,2,3,0.0
BK,2,3,3,0.5,2,4,0.0
BK,2,3,3,0.5,3,1,0.0
BK,2,3,3,0.5,3,2,0.0
BK,2,3,3,0.5,3,4,0.0
BK,2,3,3,0.5,4,1,16505.02
BK,2,3,3,0.5,4,2,0.0
BK,2,3,3,0.5,4,3,0.0
BK,2,3,6,1.0,1,2,0.0
BK,2,3,6,1.0,1,3,0.0
BK,2,3,6,1.0,1,4,0.0
BK,2,3,6,1.0,2,1,0.0
BK,2,3,6,1.0,2,3,0.0
BK,2,3,6,1.0,2,4,0.0
BK,2,3,6,1.0,3,1,0.0
BK,2,3,6,1.0,3,2,0.0
BK,2,3,6,1.0,3,4,0.0
BK,2,3,6,1.0,4,1,16449.82
BK,2,3,6,1.0,4,2,0.0
BK,2,3,6,1.0,4,3,0.0
BK,2,2,2,0.5,1,2,0.0
BK,2,2,2,0.5,1,3,0.0
BK,2,2,2,0.5,1,4,0.0
BK,2,2,2,0.5,2,1,92.54000000000158
BK,2,2,2,0.5,2,3,0.0
BK,2,2,2,0.5,2,4,0.0
BK,2,2,2,0.5,3,1,0.0
BK,2,2,2,0.5,3,2,0.0
BK,2,2,2,0.5,3,4,0.0
BK,2,2,2,0.5,4,1,12982.300000000001
BK,2,2,2,0.5,4,2,0.0
BK,2,2,2,0.5,4,3,0.0
BK,2,2,5,0.002,1,2,0.0
BK,2,2,5,0.002,1,3,0.0
BK,2,2,5,0.002,1,4,0.0
BK,2,2,5,0.002,2,1,90.44531799999821
BK,2,2,5,0.002,2,3,0.0
BK,2,2,5,0.002,2,4,0.0
BK,2,2,5,0.002,3,1,0.0
BK,2,2,5,0.002,3,2,0.0
BK,2,2,5,0.002,3,4,0.0
BK,2,2,5,0.002,4,1,12718.300000000001
BK,2,2,5,0.002,4,2,0.0
BK,2,2,5,0.002,4,3,0.0
BK,2,1,1,1.0,1,2,0.0
BK,2,1,1,1.0,1,3,0.0
BK,2,1,1,1.0,1,4,0.0
BK,2,1,1,1.0,2,1,0.0
BK,2,1,1,1.0,2,3,0.0
BK,2,1,1,1.0,2,4,0.0
BK,2,1,1,1.0,3,1,0.0
BK,2,1,1,1.0,3,2,0.0
BK,2,1,1,1.0,3,4,0.0
BK,2,1,1,1.0,4,1,10943.9
BK,2,1,1,1.0,4,2,0.0
BK,2,1,1,1.0,4,3,0.0
BK,3,4,4,1.0,1,2,0.0
BK,3,4,4,1.0,1,3,0.0
BK,3,4,4,1.0,1,4,0.0
BK,3,4,4,1.0,2,1,986.5400000000009
BK,3,4,4,1.0,2,3,0.0
BK,3,4,4,1.0,2,4,0.0
BK,3,4,4,1.0,3,1,0.0
BK,3,4,4,1.0,3,2,0.0
BK,3,4,4,1.0,3,4,0.0
BK,3,4,4,1.0,4,1,16725.02
BK,3,4,4,1.0,4,2,0.0
BK,3,4,4,1.0,4,3,0.0
BK,3,4,7,1.0,1,2,0.0
BK,3,4,7,1.0,1,3,0.0
BK,3,4,7,1.0,1,4,0.0
BK,3,4,7,1.0,2,1,980.1599999999994
BK,3,4,7,1.0,2,3,0.0
BK,3,4,7,1.0,2,4,0.0
BK,3,4,7,1.0,3,1,0.0
BK,3,4,7,1.0,3,2,0.0
BK,3,4,7,1.0,3,4,0.0
BK,3,4,7,1.0,4,1,16631.420000000002
BK,3,4,7,1.0,4,2,0.0
BK,3,4,7,1.0,4,3,0.0
BK,3,3,3,0.5,1,2,0.0
BK,3,3,3,0.5,1,3,0.0
BK,3,3,3,0.5,1,4,0.0
BK,3,3,3,0.5,2,1,0.0
BK,3,3,3,0.5,2,3,0.0
BK,3,3,3,0.5,2,4,0.0
BK,3,3,3,0.5,3,1,0.0
BK,3,3,3,0.5,3,2,0.0
BK,3,3,3,0.5,3,4,0.0
BK,3,3,3,0.5,4,1,16505.02
BK,3,3,3,0.5,4,2,0.0
BK,3,3,3,0.5,4,3,0.0
BK,3,3,6,1.0,1,2,0.0
BK,3,3,6,1.0,1,3,0.0
BK,3,3,6,1.0,1,4,0.0
BK,3,3,6,1.0,2,1,0.0
BK,3,3,6,1.0,2,3,0.0
BK,3,3,6,1.0,2,4,0.0
BK,3,3,6,1.0,3,1,0.0
BK,3,3,6,1.0,3,2,0.0
BK,3,3,6,1.0,3,4,0.0
BK,3,3,6,1.0,4,1,16449.82
BK,3,3,6,1.0,4,2,0.0
BK,3,3,6,1.0,4,3,0.0
BK,3,2,2,0.5,1,2,0.0
BK,3,2,2,0.5,1,3,0.0
BK,3,2,2,0.5,1,4,0.0
BK,3,2,2,0.5,2,1,83.42000000000148
BK,3,2,2,0.5,2,3,0.0
BK,3,2,2,0.5,2,4,0.0
BK,3,2,2,0.5,3,1,0.0
BK,3,2,2,0.5,3,2,0.0
BK,3,2,2,0.5,3,4,0.0
BK,3,2,2,0.5,4,1,12982.300000000001
BK,3,2,2,0.5,4,2,0.0
BK,3,2,2,0.5,4,3,0.0
BK,3,2,5,0.002,1,2,0.0
BK,3,2,5,0.002,1,3,0.0
BK,3,2,5,0.002,1,4,0.0
BK,3,2,5,0.002,2,1,-1.0004441719502212e-13
BK,3,2,5,0.002,2,3,0.0
BK,3,2,5,0.002,2,4,0.0
BK,3,2,5,0.002,3,1,0.0
BK,3,2,5,0.002,3,2,0.0
BK,3,2,5,0.002,3,4,0.0
BK,3,2,5,0.002,4,1,12718.300000000001
BK,3,2,5,0.002,4,2,0.0
BK,3,2,5,0.002,4,3,0.0
BK,3,1,1,1.0,1,2,0.0
BK,3,1,1,1.0,1,3,0.0
BK,3,1,1,1.0,1,4,0.0
BK,3,1,1,1.0,2,1,0.0
BK,3,1,1,1.0,2,3,0.0
BK,3,1,1,1.0,2,4,0.0
BK,3,1,1,1.0,3,1,0.0
BK,3,1,1,1.0,3,2,0.0
BK,3,1,1,1.0,3,4,0.0
BK,3,1,1,1.0,4,1,10943.9
BK,3,1,1,1.0,4,2,0.0
BK,3,1,1,1.0,4,3,0.0
BK,4,4,4,1.0,1,2,0.0
BK,4,4,4,1.0,1,3,0.0
BK,4,4,4,1.0,1,4,0.0
BK,4,4,4,1.0,2,1,986.5400000000009
BK,4,4,4,1.0,2,3,0.0
BK,4,4,4,1.0,2,4,0.0
BK,4,4,4,1.0,3,1,0.0
BK,4,4,4,1.0,3,2,0.0
BK,4,4,4,1.0,3,4,0.0
BK,4,4,4,1.0,4,1,16725.02
BK,4,4,4,1.0,4,2,0.0
BK,4,4,4,1.0,4,3,0.0
BK,4,4,7,1.0,1,2,0.0
BK,4,4,7,1.0,1,3,0.0
BK,4,4,7,1.0,1,4,0.0
BK,4,4,7,1.0,2,1,986.5399999999997
BK,4,4,7,1.0,2,3,0.0
BK,4,4,7,1.0,2,4,0.0
BK,4,4,7,1.0,3,1,0.0
BK,4,4,7,1.0,3,2,0.0
BK,4,4,7,1.0,3,4,0.0
BK,4,4,7,1.0,4,1,16631.420000000002
BK,4,4,7,1.0,4,2,0.0
BK,4,4,7,1.0,4,3,0.0
BK,4,3,3,0.5,1,2,0.0
BK,4,3,3,0.5,1,3,0.0
BK,4,3,3,0.5,1,4,0.0
BK,4,3,3,0.5,2,1,0.0
BK,4,3,3,0.5,2,3,0.0
BK,4,3,3,0.5,2,4,0.0
BK,4,3,3,0.5,3,1,0.0
BK,4,3,3,0.5,3,2,0.0
BK,4,3,3,0.5,3,4,0.0
BK,4,3,3,0.5,4,1,16505.02
BK,4,3,3,0.5,4,2,0.0
BK,4,3,3,0.5,4,3,0.0
BK,4,3,6,1.0,1,2,0.0
BK,4,3,6,1.0,1,3,0.0
BK,4,3,6,1.0,1,4,0.0
BK,4,3,6,1.0,2,1,0.0
BK,4,3,6,1.0,2,3,0.0
BK,4,3,6,1.0,2,4,0.0
BK,4,3,6,1.0,3,1,0.0
BK,4,3,6,1.0,3,2,0.0
BK,4,3,6,1.0,3,4,0.0
BK,4,3,6,1.0,4,1,16449.82
BK,4,3,6,1.0,4,2,0.0
BK,4,3,6,1.0,4,3,0.0
BK,4,2,2,0.5,1,2,0.0
BK,4,2,2,0.5,1,3,0.0
BK,4,2,2,0.5,1,4,0.0
BK,4,2,2,0.5,2,1,92.54000000000158
BK,4,2,2,0.5,2,3,0.0
BK,4,2,2,0.5,2,4,0.0
BK,4,2,2,0.5,3,1,0.0
BK,4,2,2,0.5,3,2,0.0
BK,4,2,2,0.5,3,4,0.0
BK,4,2,2,0.5,4,1,12982.300000000001
BK,4,2,2,0.5,4,2,0.0
BK,4,2,2,0.5,4,3,0.0
BK,4,2,5,0.002,1,2,0.0
BK,4,2,5,0.002,1,3,0.0
BK,4,2,5,0.002,1,4,0.0
BK,4,2,5,0.002,2,1,7.003109203651549e-13
BK,4,2,5,0.002,2,3,0.0
BK,4,2,5,0.002,2,4,0.0
BK,4,2,5,0.002,3,1,0.0
BK,4,2,5,0.002,3,2,0.0
BK,4,2,5,0.002,3,4,0.0
BK,4,2,5,0.002,4,1,12718.300000000001
BK,4,2,5,0.002,4,2,0.0
BK,4,2,5,0.002,4,3,0.0
BK,4,1,1,1.0,1,2,0.0
BK,4,1,1,1.0,1,3,0.0
BK,4,1,1,1.0,1,4,0.0
BK,4,1,1,1.0,2,1,0.0
BK,4,1,1,1.0,2,3,0.0
BK,4,1,1,1.0,2,4,0.0
BK,4,1,1,1.0,3,1,0.0
BK,4,1,1,1.0,3,2,0.0
BK,4,1,1,1.0,3,4,0.0
BK,4,1,1,1.0,4,1,10943.9
BK,4,1,1,1.0,4,2,0.0
BK,4,1,1,1.0,4,3,0.0
BK,5,4,4,1.0,1,2,0.0
BK,5,4,4,1.0,1,3,0.0
BK,5,4,4,1.0,1,4,0.0
BK,5,4,4,1.0,2,1,986.5400000000009
BK,5,4,4,1.0,2,3,0.0
BK,5,4,4,1.0,2,4,0.0
BK,5,4,4,1.0,3,1,0.0
BK,5,4,4,1.0,3,2,0.0
BK,5,4,4,1.0,3,4,0.0
BK,5,4,4,1.0,4,1,16725.02
BK,5,4,4,1.0,4,2,0.0
BK,5,4,4,1.0,4,3,0.0
BK,5,4,7,1.0,1,2,0.0
BK,5,4,7,1.0,1,3,0.0
BK,5,4,7,1.0,1,4,0.0
BK,5,4,7,1.0,2,1,986.5399999999997
BK,5,4,7,1.0,2,3,0.0
BK,5,4,7,1.0,2,4,0.0
BK,5,4,7,1.0,3,1,0.0
BK,5,4,7,1.0,3,2,0.0
BK,5,4,7,1.0,3,4,0.0
BK,5,4,7,1.0,4,1,16631.420000000002
BK,5,4,7,1.0,4,2,0.0
BK,5,4,7,1.0,4,3,0.0
BK,5,3,3,0.5,1,2,0.0
BK,5,3,3,0.5,1,3,0.0
BK,5,3,3,0.5,1,4,0.0
BK,5,3,3,0.5,2,1,0.0
BK,5,3,3,0.5,2,3,0.0
BK,5,3,3,0.5,2,4,0.0
BK,5,3,3,0.5,3,1,0.0
BK,5,3,3,0.5,3,2,0.0
BK,5,3,3,0.5,3,4,0.0
BK,5,3,3,0.5,4,1,16505.02
BK,5,3,3,0.5,4,2,0.0
BK,5,3,3,0.5,4,3,0.0
BK,5,3,6,1.0,1,2,0.0
BK,5,3,6,1.0,1,3,0.0
BK,5,3,6,1.0,1,4,0.0
BK,5,3,6,1.0,2,1,0.0
BK,5,3,6,1.0,2,3,0.0
BK,5,3,6,1.0,2,4,0.0
BK,5,3,6,1.0,3,1,0.0
BK,5,3,6,1.0,3,2,0.0
BK,5,3,6,1.0,3,4,0.0
BK,5,3,6,1.0,4,1,16449.82
BK,5,3,6,1.0,4,2,0.0
BK,5,3,6,1.0,4,3,0.0
BK,5,2,2,0.5,1,2,0.0
BK,5,2,2,0.5,1,3,0.0
BK,5,2,2,0.5,1,4,0.0
BK,5,2,2,0.5,2,1,92.54000000000158
BK,5,2,2,0.5,2,3,0.0
BK,5,2,2,0.5,2,4,0.0
BK,5,2,2,0.5,3,1,0.0
BK,5,2,2,0.5,3,2,0.0
BK,5,2,2,0.5,3,4,0.0
BK,5,2,2,0.5,4,1,12982.300000000001
BK,5,2,2,0.5,4,2,0.0
BK,5,2,2,0.5,4,3,0.0
BK,5,2,5,0.002,1,2,0.0
BK,5,2,5,0.002,1,3,0.0
BK,5,2,5,0.002,1,4,0.0
BK,5,2,5,0.002,2,1,92.53999999999918
BK,5,2,5,0.002,2,3,0.0
BK,5,2,5,0.002,2,4,0.0
BK,5,2,5,0.002,3,1,0.0
BK,5,2,5,0.002,3,2,0.0
BK,5,2,5,0.002,3,4,0.0
BK,5,2,5,0.002,4,1,12718.300000000001
BK,5,2,5,0.002,4,2,0.0
BK,5,2,5,0.002,4,3,0.0
BK,5,1,1,1.0,1,2,0.0
BK,5,1,1,1.0,1,3,0.0
BK,5,1,1,1.0,1,4,0.0
BK,5,1,1,1.0,2,1,0.0
BK,5,1,1,1.0,2,3,0.0
BK,5,1,1,1.0,2,4,0.0
BK,5,1,1,1.0,3,1,0.0
BK,5,1,1,1.0,3,2,0.0
BK,5,1,1,1.0,3,4,0.0
BK,5,1,1,1.0,4,1,10943.9
BK,5,1,1,1.0,4,2,0.0
BK,5,1,1,1.0,4,3,0.0
BK,6,4,4,1.0,1,2,0.0
BK,6,4,4,1.0,1,3,0.0
BK,6,4,4,1.0,1,4,0.0
BK,6,4,4,1.0,2,1,986.5400000000009
BK,6,4,4,1.0,2,3,0.0
BK,6,4,4,1.0,2,4,0.0
BK,6,4,4,1.0,3,1,0.0
BK,6,4,4,1.0,3,2,0.0
BK,6,4,4,1.0,3,4,0.0
BK,6,4,4,1.0,4,1,16725.02
BK,6,4,4,1.0,4,2,0.0
BK,6,4,4,1.0,4,3,0.0
BK,6,4,7,1.0,1,2,0.0
BK,6,4,7,1.0,1,3,0.0
BK,6,4,7,1.0,1,4,0.0
BK,6,4,7,1.0,2,1,980.1599999999994
BK,6,4,7,1.0,2,3,0.0
BK,6,4,7,1.0,2,4,0.0
BK,6,4,7,1.0,3,1,0.0
BK,6,4,7,1.0,3,2,0.0
BK,6,4,7,1.0,3,4,0.0
BK,6,4,7,1.0,4,1,16631.420000000002
BK,6,4,7,1.0,4,2,0.0
BK,6,4,7,1.0,4,3,0.0
BK,6,3,3,0.5,1,2,0.0
BK,6,3,3,0.5,1,3,0.0
BK,6,3,3,0.5,1,4,0.0
BK,6,3,3,0.5,2,1,0.0
BK,6,3,3,0.5,2,3,0.0
BK,6,3,3,0.5,2,4,0.0
BK,6,3,3,0.5,3,1,0.0
BK,6,3,3,0.5,3,2,0.0
BK,6,3,3,0.5,3,4,0.0
BK,6,3,3,0.5,4,1,16505.02
BK,6,3,3,0.5,4,2,0.0
BK,6,3,3,0.5,4,3,0.0
BK,6,3,6,1.0,1,2,0.0
BK,6,3,6,1.0,1,3,0.0
BK,6,3,6,1.0,1,4,0.0
BK,6,3,6,1.0,2,1,0.0
BK,6,3,6,1.0,2,3,0.0
BK,6,3,6,1.0,2,4,0.0
BK,6,3,6,1.0,3,1,0.0
BK,6,3,6,1.0,3,2,0.0
BK,6,3,6,1.0,3,4,0.0
BK,6,3,6,1.0,4,1,16449.82
BK,6,3,6,1.0,4,2,0.0
BK,6,3,6,1.0,4,3,0.0
BK,6,2,2,0.5,1,2,0.0
BK,6,2,2,0.5,1,3,0.0
BK,6,2,2,0.5,1,4,0.0
BK,6,2,2,0.5,2,1,90.91305912478472
BK,6,2,2,0.5,2,3,0.0
BK,6,2,2,0.5,2,4,0.0
BK,6,2,2,0.5,3,1,0.0
BK,6,2,2,0.5,3,2,0.0
BK,6,2,2,0.5,3,4,0.0
BK,6,2,2,0.5,4,1,12982.300000000001
BK,6,2,2,0.5,4,2,0.0
BK,6,2,2,0.5,4,3,0.0
BK,6,2,5,0.002,1,2,0.0
BK,6,2,5,0.002,1,3,0.0
BK,6,2,5,0.002,1,4,0.0
BK,6,2,5,0.002,2,1,92.53999999999918
BK,6,2,5,0.002,2,3,0.0
BK,6,2,5,0.002,2,4,0.0
BK,6,2,5,0.002,3,1,0.0
BK,6,2,5,0.002,3,2,0.0
BK,6,2,5,0.002,3,4,0.0
BK,6,2,5,0.002,4,1,12718.300000000001
BK,6,2,5,0.002,4,2,0.0
BK,6,2,5,0.002,4,3,0.0
BK,6,1,1,1.0,1,2,0.0
BK,6,1,1,1.0,1,3,0.0
BK,6,1,1,1.0,1,4,0.0
BK,6,1,1,1.0,2,1,0.0
BK,6,1,1,1.0,2,3,0.0
BK,6,1,1,1.0,2,4,0.0
BK,6,1,1,1.0,3,1,0.0
BK,6,1,1,1.0,3,2,0.0
BK,6,1,1,1.0,3,4,0.0
BK,6,1,1,1.0,4,1,10943.9
BK,6,1,1,1.0,4,2,0.0
BK,6,1,1,1.0,4,3,0.0
BK,7,4,4,1.0,1,2,0.0
BK,7,4,4,1.0,1,3,0.0
BK,7,4,4,1.0,1,4,0.0
BK,7,4,4,1.0,2,1,986.5400000000009
BK,7,4,4,1.0,2,3,0.0
BK,7,4,4,1.0,2,4,0.0
BK,7,4,4,1.0,3,1,0.0
BK,7,4,4,1.0,3,2,0.0
BK,7,4,4,1.0,3,4,0.0
BK,7,4,4,1.0,4,1,16725.02
BK,7,4,4,1.0,4,2,0.0
BK,7,4,4,1.0,4,3,0.0
BK,7,4,7,1.0,1,2,0.0
BK,7,4,7,1.0,1,3,0.0
BK,7,4,7,1.0,1,4,0.0
BK,7,4,7,1.0,2,1,980.1599999999994
BK,7,4,7,1.0,2,3,0.0
BK,7,4,7,1.0,2,4,0.0
BK,7,4,7,1.0,3,1,0.0
BK,7,4,7,1.0,3,2,0.0
BK,7,4,7,1.0,3,4,0.0
BK,7,4,7,1.0,4,1,16631.420000000002
BK,7,4,7,1.0,4,2,0.0
BK,7,4,7,1.0,4,3,0.0
BK,7,3,3,0.5,1,2,0.0
BK,7,3,3,0.5,1,3,0.0
BK,7,3,3,0.5,1,4,0.0
BK,7,3,3,0.5,2,1,0.0
BK,7,3,3,0.5,2,3,0.0
BK,7,3,3,0.5,2,4,0.0
BK,7,3,3,0.5,3,1,0.0
BK,7,3,3,0.5,3,2,0.0
BK,7,3,3,0.5,3,4,0.0
BK,7,3,3,0.5,4,1,16505.02
BK,7,3,3,0.5,4,2,0.0
BK,7,3,3,0.5,4,3,0.0
BK,7,3,6,1.0,1,2,0.0
